First Name,Last Name,SSN,Email
Tina,Fleming,619-16-7988,Tina.Fleming@data.com
Erica,Shah,164-51-7615,Erica.Shah@data.com
Paula,Ortiz,051-83-3290,Paula.Ortiz@data.com
James,Hendricks,776-83-2884,James.Hendricks@data.com
Lauren,King,197-94-2398,Lauren.King@data.com
David,Cowan,252-92-1832,David.Cowan@data.com
Andrew,Burton,296-23-6842,Andrew.Burton@data.com
Julian,Baker,337-40-7543,Julian.Baker@data.com
Scott,Castro,399-46-5595,Scott.Castro@data.com
Billy,Rodriguez,014-18-2503,Billy.Rodriguez@data.com
Darrell,Leblanc,005-82-7918,Darrell.Leblanc@data.com
David,Hammond,561-17-6312,David.Hammond@data.com
